Elongation,Force,?,Time
0.036381192,0.406150013,0,0.000816667
0.133599562,-0.024252448,0,0.001366667
0.247587741,0.112644434,0,0.001916667
0.354774849,0.156005055,0,0.002466667
0.466806552,0.219587818,0,0.003016667
0.575857004,0.088785619,0,0.003566667
0.686444633,0.457321972,0,0.004116667
0.796007458,0.522575915,0.034855504,0.004666667
0.906501955,0.294141591,0.267225521,0.005216667
1.01555232,0.33471781,0.220751521,0.005766666
1.126140007,0.408762693,0.209133024,0.006316667
1.235656207,0.60984987,0.232370032,0.006866667
1.346430159,0.545661569,0.302081055,0.007416667
1.455946476,0.574094117,0.34855507,0.007966666
1.56625465,0.660488725,0.383410545,0.008516666
1.67609693,0.494084895,0.406647567,0.009066667
1.786078908,0.478512555,0.42988456,0.009616667
1.895828173,0.62696135,0.487977057,0.010166667
2.006276045,0.883132994,0.511214079,0.010716667
2.116071759,0.727282047,0.546069583,0.011266667
2.226007171,0.633484125,0.580925029,0.011816667
2.336175647,0.726002991,0.627399073,0.012366666
2.446204191,0.764010549,0.639017555,0.012916666
2.556279534,0.681614816,0.650636095,0.013466667
2.666168381,0.709467769,0.697110139,0.014016667
2.776196925,0.635772824,0.801676651,0.014566667
2.886272268,0.831772983,0.778439571,0.015116667
2.995835152,0.81715256,0.871387601,0.015666667
3.10632959,0.998624861,0.836532097,0.016216666
3.21617187,1.001934171,0.859769119,0.016766667
3.326386912,0.96043098,0.894624565,0.017316667
3.436182626,0.750890195,1.010809676,0.017866667
3.546257969,0.905333102,1.010809676,0.018416667
3.656239947,0.957333863,1.010809676,0.018966667
3.766082227,0.971157968,1.057283604,0.019516667
3.876157571,1.150939465,1.068902086,0.020066667
3.986232914,1.093568683,1.103757648,0.020616666
4.096168093,1.103956819,1.185087254,0.021166666
4.206149839,1.074894071,1.2199427,0.021716666
4.316178616,1.128517985,1.254798146,0.022266666
4.426300526,1.221453309,1.30127219,0.022816666
4.536049906,1.216165781,1.336127636,0.023366666
4.646218382,1.329442739,1.3593646,0.023916666
4.756200127,1.293489218,1.440694206,0.024466668
4.866228905,1.378072977,1.429075724,0.025016667
4.976071417,1.12068224,1.510405215,0.025566667
5.086192861,1.225978374,1.498786733,0.026116667
5.196175072,1.297113419,1.510405215,0.026666667
5.306157283,1.36538136,1.556879142,0.027216667
5.416232627,1.421144724,1.649827231,0.027766667
5.526167806,1.211674333,1.614971785,0.028316667
5.63624315,1.39863801,1.707919757,0.028866667
5.746132229,1.323214889,1.731156721,0.029416666
5.856254138,1.402669191,1.754393685,0.029966666
5.966142751,1.498743415,1.789249131,0.030516666
6.076218095,1.471307278,1.824104809,0.031066666
6.186153274,1.406951785,1.882197219,0.031616666
6.296182051,1.480419159,1.905434299,0.032166666
6.406164262,1.490338802,1.951908227,0.032716668
6.51619304,1.438666701,1.963526709,0.033266668
6.626128685,1.61472702,1.975145191,0.033816667
6.736110896,1.642738342,2.033237601,0.034366667
6.846138742,1.610106468,2.126185922,0.034916667
6.956167519,1.744944096,2.126185922,0.035466667
7.06610363,1.640850306,2.195896814,0.036016667
7.176178508,1.69067812,2.17265985,0.036566667
7.286160253,1.76929152,2.195896814,0.037116667
7.396236062,1.734851718,2.253989223,0.037666667
7.506078109,1.655665755,2.346937312,0.038216666
7.616153453,1.710674286,2.370174509,0.038766666
7.726135198,1.672660589,2.393411472,0.039316666
7.836257108,1.75824964,2.451503649,0.039866666
7.946100086,1.811890483,2.463122364,0.040416666
8.056268096,1.714343429,2.521214774,0.040966666
8.166203275,1.876114726,2.521214774,0.041516666
8.276139386,1.809720516,2.579307416,0.042066665
8.386121131,1.779895306,2.66063679,0.042616665
8.496102877,1.8167454,2.625781344,0.043166665
8.606178686,1.768658519,2.730347915,0.043716665
8.716160432,1.861486077,2.741966164,0.044266665
8.826188743,1.977179527,2.76520336,0.044816665
8.93617142,1.935957193,2.788440557,0.045366665
9.046106599,1.995557427,2.82329577,0.045916669
9.156182408,1.996378303,2.916243859,0.046466668
9.26607009,1.895139933,2.893006895,0.047016668
9.376239032,1.937871695,2.974336501,0.047566668
9.486174211,1.960682392,2.974336501,0.048116668
9.596202523,2.101059198,2.985954983,0.048666668
9.706231765,2.08062458,2.997573465,0.049216668
9.81612131,2.132863283,3.067284357,0.049766668
9.926242754,2.045609236,3.241561819,0.050316668
10.0361323,2.095986605,3.113758285,0.050866667
10.14625374,2.063132524,3.218324855,0.051416667
10.25618799,2.161314487,3.241561819,0.051966667
10.36621723,2.138868093,3.253180534,0.052516667
10.47624554,2.117860556,3.299654461,0.053066667
10.58618166,2.259336472,3.39260255,0.053616667
10.69620997,2.270766497,3.404221032,0.054166667
10.80614608,2.192564964,3.45069496,0.054716667
10.91622096,2.23075676,3.532024333,0.055266666
11.0262027,2.207640648,3.532024333,0.055816666
11.13618445,2.374010563,3.543643048,0.056366666
11.24621369,2.292899132,3.659827868,0.056916666
11.356242,2.199889898,3.61335394,0.057466666
11.46617811,2.369079351,3.683064831,0.058016666
11.57620642,2.488055468,3.694683546,0.058566666
11.6861891,2.389544249,3.741157474,0.059116666
11.79612428,2.352533817,3.834105562,0.059666665
11.90615259,2.302360535,3.834105562,0.060216665
12.0160887,2.434567928,3.845724044,0.060766665
12.12616358,2.41877079,3.892197972,0.061316665
12.23605219,2.443288088,3.892197972,0.061866665
12.34612707,2.513915539,3.927053418,0.062416665
12.45610975,2.46772337,3.99676431,0.062966669
12.56609149,2.495193481,4.078093916,0.063516668
12.67616637,2.512069464,4.078093916,0.064066668
12.78614905,2.586928844,4.112949595,0.064616668
12.89613172,2.551185846,4.136186559,0.065166668
13.00625317,2.600768805,4.182660487,0.065716668
13.11618835,2.617759466,4.298845772,0.066266668
13.22626416,2.671699762,4.229134414,0.066816664
13.3361062,2.569192171,4.287227057,0.067366664
13.44627514,2.603280544,4.287227057,0.067916663
13.55620939,2.718019247,4.310464021,0.068466663
13.66623864,2.669321537,4.391793627,0.069016663
13.77626695,2.759688616,4.473123234,0.069566663
13.88620306,2.846117735,4.484741483,0.070116663
13.99623137,2.675890446,4.507978447,0.070666663
14.10616655,2.80961442,4.589308053,0.071216663
14.21619486,2.713326693,4.600926302,0.071766671
14.3262241,2.665040016,4.659018945,0.07231667
14.43615928,2.729082823,4.705492873,0.07286667
14.54623509,2.812126637,4.705492873,0.07341667
14.65621684,2.792026281,4.717111588,0.07396667
14.76619951,2.872936964,4.77520423,0.07451667
14.87622783,2.734642506,4.914626013,0.07506667
14.98620957,2.755583525,4.856533371,0.07561667
15.09623788,2.79026413,4.972718656,0.07616667
15.20617399,2.829651594,4.99595562,0.076716669
15.31624887,2.814106226,4.984337371,0.077266669
15.42623155,2.846297741,5.019192584,0.077816669
15.5361658,2.808768272,5.135377869,0.078366669
15.64619504,2.97947669,5.158614833,0.078916669
15.75626992,3.065849066,5.193470046,0.079466669
15.86620696,2.995643854,5.263181403,0.080016669
15.97614028,3.088738203,5.263181403,0.080566669
16.08621515,3.039791822,5.286417902,0.081116668
16.19619876,3.116276503,5.356129259,0.081666668
16.30618051,2.939352036,5.402603187,0.082216668
16.41616225,3.069318771,5.425840151,0.082766668
