Elongation,Force,?,Time,
0.03372597,0.453580886,0,0.0008,
0.129593449,0.396230727,0,0.00135,
0.244885945,0.280518115,0.011618502,0.0019,
0.351514027,0.276751459,0.023237004,0.00245,
0.463685516,0.330755293,0.209133024,0.003,
0.572083751,0.302452683,0.395029027,0.00355,
0.683463353,0.370833457,0.395029027,0.0041,
0.792513718,0.441259384,0.395029027,0.00465,
0.902868458,0.364745796,0.395029027,0.0052,
1.011965564,0.455212533,0.42988456,0.00575,
1.123438124,0.43937543,0.534451043,0.0063,
1.232488663,0.472395748,0.650636095,0.00685,
1.343076234,0.650360465,0.662254577,0.0074,
1.452871948,0.676086903,0.673873059,0.00795,
1.562854042,0.579836309,0.708728621,0.0085,
1.672929269,0.604265153,0.790058053,0.00905,
1.782585285,0.721074998,0.894624565,0.0096,
1.893126406,0.781317115,0.894624565,0.01015,
2.003108617,0.691934645,0.906243164,0.0107,
2.112950897,0.840948939,0.95271715,0.01125,
2.223072574,0.839572132,1.03404664,0.0118,
2.33296142,0.699287772,0.999191077,0.01235,
2.44303653,0.814926803,1.068902086,0.0129,
2.55287881,0.877016664,1.068902086,0.01345,
2.663140651,0.788429201,1.11537613,0.014,
2.772843232,0.905777276,1.2199427,0.01455,
2.882964909,0.792807698,1.208324218,0.0151,
2.992900321,1.03452003,1.266416628,0.01565,
3.103022231,0.877826214,1.289653708,0.0162,
3.212911077,0.972068429,1.30127219,0.01675,
3.322893055,1.12557292,1.370983082,0.0173,
3.432968399,0.927767158,1.487168251,0.01785,
3.542857477,0.950555861,1.440694206,0.0184,
3.652839456,1.105505824,1.487168251,0.018949999,
3.762868233,0.9758479,1.510405215,0.019499999,
3.872943344,1.085208774,1.54526066,0.020049999,
3.982925322,1.089089394,1.673064195,0.020599999,
4.0930002,1.151630878,1.707919757,0.021150001,
4.20293631,1.007286429,1.719538239,0.021700001,
4.312965088,1.131726027,1.742775203,0.022250001,
4.422900267,1.25526166,1.766012167,0.022800001,
4.53297561,1.172458529,1.847341773,0.02335,
4.643003922,1.22610116,1.975145191,0.0239,
4.752939567,1.2690382,1.870578737,0.02445,
4.862968344,1.244731784,1.975145191,0.025,
4.972996656,1.292862535,1.975145191,0.02555,
5.082978867,1.248102069,1.986763673,0.0261,
5.192961078,1.491923094,2.021619352,0.02665,
5.303082988,1.363921404,2.137804171,0.027199999,
5.413064733,1.292156339,2.230752259,0.027749999,
5.523046944,1.446197391,2.195896814,0.028299999,
5.633029155,1.510124326,2.219133778,0.028849999,
5.743057933,1.593722582,2.300463151,0.029400001,
5.853086244,1.504451394,2.381792758,0.029950001,
5.962928757,1.45666039,2.370174509,0.030500001,
6.073143333,1.387654901,2.463122364,0.031050001,
6.182985846,1.492245317,2.463122364,0.0316,
6.293061189,1.562965393,2.474740846,0.03215,
6.402950268,1.595411539,2.567688935,0.0327,
6.513072178,1.614890695,2.637399826,0.03325,
6.623053923,1.50193727,2.579307416,0.033800002,
6.732943002,1.4939574,2.66063679,0.034350002,
6.84301788,1.548669338,2.683873987,0.034900002,
6.952953991,1.514338851,2.695492236,0.035450002,
7.063028868,1.679072618,2.741966164,0.036000001,
7.172917947,1.832400441,2.846532734,0.036550001,
7.283039391,1.839772224,2.893006895,0.037100001,
7.392975036,1.58191824,2.881388413,0.037650001,
7.503003813,1.815813541,2.927862341,0.038200001,
7.613079157,1.814420462,2.939480823,0.038750001,
7.723014336,1.729548931,2.951099304,0.039300001,
7.833043113,1.777515769,3.032428911,0.039850001,
7.943024859,1.869795799,3.183469409,0.0404,
8.053054102,1.743578315,3.183469409,0.04095,
8.163082413,1.895067453,3.171850927,0.0415,
8.273017593,1.965394497,3.22994357,0.04205,
8.383139968,1.825288773,3.311272943,0.0426,
8.493028581,1.882745862,3.288035979,0.04315,
8.603150025,1.834448934,3.380983835,0.0437,
8.71303957,1.883122087,3.415839514,0.04425,
8.823114447,2.013215065,3.415839514,0.044799999,
8.933050558,2.062494516,3.45069496,0.045349999,
9.04307887,2.014749527,3.543643048,0.045899999,
9.153014049,2.083200216,3.659827868,0.046449999,
9.263042361,1.918395758,3.555261297,0.046999999,
9.373025037,1.853533626,3.671446582,0.047549999,
9.483007714,1.905418038,3.671446582,0.048099999,
9.593036026,2.227666378,3.683064831,0.048649999,
9.70301684,2.090675116,3.71792051,0.049199998,
9.812952951,2.075160742,3.857342526,0.049749998,
9.923027828,2.247574806,3.915435169,0.050299998,
10.03296394,2.113124847,3.88057949,0.050850002,
10.14294662,2.089166403,3.915435169,0.051400002,
10.25292743,2.255063057,3.973527346,0.051950002,
10.36295667,2.003670692,4.066475201,0.052500002,
10.47298498,2.014645815,4.101331346,0.053050001,
10.5829211,2.212212563,4.101331346,0.053600001,
10.69299597,2.210588932,4.112949595,0.054150001,
10.80293208,2.27617383,4.147805274,0.054700001,
10.91305353,2.325836182,4.240753129,0.055250001,
11.02294214,2.275949478,4.345319699,0.055800001,
11.13297045,2.157910585,4.356937949,0.056350001,
11.2429997,2.283082962,4.368556663,0.056900001,
11.35288831,2.242653847,4.415030591,0.05745,
11.46296412,2.349094152,4.531215876,0.058,
11.5728993,2.34322238,4.554452375,0.05855,
11.68297511,2.31072402,4.531215876,0.0591,
11.79290935,2.449845791,4.635782447,0.05965,
11.90303173,2.356203079,4.624163732,0.0602,
12.01296691,2.546379566,4.624163732,0.06075,
12.12294959,2.514130354,4.659018945,0.0613,
12.23302446,2.387681723,4.810059443,0.061849999,
12.34296057,2.518153906,4.844915122,0.062399999,
12.45298889,2.455420017,4.798440728,0.062949999,
12.5630172,2.51393199,4.833296873,0.063499999,
12.67299894,2.419442415,4.8797708,0.064049999,
12.78302725,2.412626743,5.007573869,0.064599999,
12.89296336,2.596080303,5.030811299,0.065149999,
13.00299168,2.512130737,5.030811299,0.065699999,
13.11297435,2.653063059,5.042429548,0.066249998,
13.22300266,2.675526381,5.088903476,0.066799998,
